calc_imps,J_data_uuid,imp0,offset0,ilayer0,imp1,offset1,ilayer1,i,j,Z_i,Z_j,J,D,Dx,Dy,Dz,rx,ry,rz,r,mom1,mom2,tot_mom,s00,p00,d00,f00,s01,p01,d01,f01,group1,period1,en1,group2,period2,en2
13,2,18ccd7e5-241a-416d-ae82-7f84ea077fd1,24,0,3,42,1,3,0,1,24,42,18.0755672094934,5.672595646563954,-0.2971462411472828,-4.751625543007658,-3.08416928520883,-0.41851489357247,0.0,0.0,0.41851489357247,3.8270231493108,2.5547726565577,6.381795805868499,1,0,5,0,1,0,5,0,6,4,9.77,6,5,8.71
14,2,47cd4a5a-77b9-4f04-bff3-3719417af80b,25,0,3,40,1,3,0,1,25,40,0.2498249639950334,0.0449059196418843,-0.0075264809869198,-0.0314368153685657,-0.0311708251786765,-0.41851489357247,0.0,0.0,0.41851489357247,4.4107187935971,0.023569179823356,4.4342879734204566,2,0,5,0,2,0,2,0,7,4,10.34,4,5,7.808
15,2,d94d2eec-0006-49fd-a85f-2d734601980d,25,0,3,42,1,3,0,1,25,42,-2.0417205883978564,1.7439094866991929,1.0214887398780583,-0.7200262064434727,1.2162825798869277,-0.41851489357247,0.0,0.0,0.41851489357247,4.4152061112831,2.5675787274647,6.9827848387478,2,0,5,0,1,0,5,0,7,4,10.34,6,5,8.71
16,2,73cc53bc-5053-43d0-b7e0-fe9141d1411c,21,0,3,42,1,3,0,1,21,42,0.2518307660867305,0.0718533292273846,-0.0027442857199425,-0.0496307294310683,-0.0518860338924293,-0.41851489357247,0.0,0.0,0.41851489357247,0.014121521085415,2.5785222366058,2.592643757691215,2,0,1,0,1,0,5,0,3,4,7.042000000000001,6,5,8.71
17,2,0da6034b-1169-4680-81ee-c991d7146f61,25,0,3,41,1,3,0,1,25,41,7.179019454976715,2.7218416894568325,0.1375391521899205,-2.5034570425617213,-1.05934319279836,-0.41851489357247,0.0,0.0,0.41851489357247,4.3985955056865,1.1089442357513,5.5075397414378,2,0,5,0,1,0,4,0,7,4,10.34,5,5,8.34
18,2,e939e10a-2fda-4ef9-a2b3-3c48209da428,23,0,3,45,1,3,0,1,23,45,1.0065030050346837,0.4046642578962181,0.047350280147512,-0.3039343319950404,-0.2629354187312497,-0.41851489357247,0.0,0.0,0.41851489357247,2.6355927675101,0.047053102274692,2.682645869784792,2,0,3,0,1,0,8,0,5,4,9.062999999999999,9,5,9.259
19,2,5c5cff9f-f037-4ab2-ad48-f4ce3743c3df,21,0,3,22,1,3,0,1,21,22,0.0124270853311335,0.0029529986172943,-0.0003343142994579,-0.0020230228549123,-0.002125044308108,-0.41851489357247,0.0,0.0,0.41851489357247,1.8567015891424e-06,0.81527563023296,0.8152774869345492,2,0,1,0,2,0,2,0,3,4,7.042000000000001,4,4,8.17
20,2,0894cb35-2296-4768-91e4-8d3a586b0916,21,0,3,29,1,3,0,1,21,29,-3.163447266427495e-21,5.524786934900646e-22,-1.309493105755612e-23,4.696151517293105e-22,2.907281183637783e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.1853520649227e-11,-1.6173729022739e-11,-5.8027249671966e-11,2,0,1,0,1,0,1,0,3,4,7.042000000000001,11,4,10.96
21,2,7ab90c5f-b6fe-46d2-8067-10c00b2aa801,21,0,3,45,1,3,0,1,21,45,-8.024096626171915e-21,2.9606831626344928e-21,-2.6564789024947248e-21,-1.2434631774777842e-21,-4.031922077181785e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2613024220373e-11,1.9763390923799002e-10,1.55020885017617e-10,2,0,1,0,1,0,8,0,3,4,7.042000000000001,9,5,9.259
22,2,88047c5b-136a-4073-a34e-aa0b6f4225a0,21,0,3,47,1,3,0,1,21,47,-2.3430003736792527e-21,2.0014781850095021e-22,5.719470799503296e-23,1.5793773197531228e-22,1.088282474661181e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.1668335448719e-11,-2.3326229836584e-11,-6.4994565285303e-11,2,0,1,0,1,0,1,0,3,4,7.042000000000001,11,5,11.05
23,2,bc1e7221-77ce-4a98-a5cf-c254aedbd561,21,0,3,46,1,3,0,1,21,46,-1.3216087875163575e-20,7.063122450396717e-21,-1.47393746803295e-21,5.288993171888117e-21,4.4431698501573904e-21,-0.41851489357247,0.0,0.0,0.41851489357247,-4.0185299532425e-11,5.1618265217712004e-11,1.1432965685287e-11,2,0,1,0,0,0,1,0,3,4,7.042000000000001,10,5,9.402000000000001
24,2,7bc639eb-b048-4649-90a2-f79a31705998,22,0,3,21,1,3,0,1,22,21,0.0124249245347196,0.00311435111467,0.0003536133455367,-0.0021459158809076,-0.0022291669967441,-0.41851489357247,0.0,0.0,0.41851489357247,0.81729303144706,-1.7431188143124e-05,0.8172756002589169,2,0,2,0,2,0,1,0,4,4,8.17,3,4,7.042000000000001
25,2,41c7e5c7-ea86-4b44-b2bc-b9fb5d4234a3,22,0,3,22,1,3,0,1,22,22,6.292520824358476,0.4846956901402322,0.0314644723843291,0.3593651837634737,-0.3237229737240417,-0.41851489357247,0.0,0.0,0.41851489357247,0.86082745753425,0.85958734157815,1.7204147991124,2,0,2,0,2,0,2,0,4,4,8.17,4,4,8.17
26,2,9dcd2ec4-2eac-45a2-8aae-79158dc09717,22,0,3,39,1,3,0,1,22,39,0.0061945811083819,0.0018941027582595,0.0001086175016311,-0.0015255106725784,-0.0011174277090869,-0.41851489357247,0.0,0.0,0.41851489357247,0.82043376531596,-0.0012086467285417,0.8192251185874183,2,0,2,0,2,0,1,0,4,4,8.17,3,5,6.631
27,2,fedff049-272a-46b0-ab0a-cb49f88701ac,22,0,3,42,1,3,0,1,22,42,6.919481656023769,0.7071029936325527,0.0391452237776365,-0.5496465364641129,-0.4431150866451303,-0.41851489357247,0.0,0.0,0.41851489357247,0.85421435599448,2.5729411124509,3.42715546844538,2,0,2,0,1,0,5,0,4,4,8.17,6,5,8.71
28,2,8d2f70fb-0d08-4c11-abbd-accedc5acfe9,22,0,3,41,1,3,0,1,22,41,11.961652845078246,0.9209409237871388,0.0251274481198062,-0.3095632404577953,-0.8669898480456184,-0.41851489357247,0.0,0.0,0.41851489357247,0.90753625033921,1.2336839123954,2.14122016273461,2,0,2,0,1,0,4,0,4,4,8.17,5,5,8.34
29,2,77ca5196-bbe2-4296-880b-a204f329a60f,22,0,3,29,1,3,0,1,22,29,0.063906377384357,0.0115835516134659,0.0027255578049299,-0.0078628734856533,-0.0080576189524215,-0.41851489357247,0.0,0.0,0.41851489357247,0.5873509761517,-0.0097450951832743,0.5776058809684257,2,0,2,0,1,0,1,0,4,4,8.17,11,4,10.96
30,2,d7fe1d22-96b8-4b0b-8bcc-8e6a7ddbfbdf,22,0,3,43,1,3,0,1,22,43,3.173192847730635,1.6199822411655995,0.3416227025194575,-1.512520011281856,-0.4689558681658176,-0.41851489357247,0.0,0.0,0.41851489357247,0.87914904508733,2.3199856081697,3.1991346532570297,2,0,2,0,2,0,5,0,4,4,8.17,7,5,8.94
31,2,a8843ac1-2004-4e12-bf9b-21de8739fd3c,22,0,3,45,1,3,0,1,22,45,0.8311970905454668,0.2620913142971945,0.0445681656925532,-0.1873467232356243,-0.1777828476813956,-0.41851489357247,0.0,0.0,0.41851489357247,0.78062738333569,0.049605549542469,0.830232932878159,2,0,2,0,1,0,8,0,4,4,8.17,9,5,9.259
32,2,38068df2-1829-459e-bd0a-460b33fe0e5c,22,0,3,48,1,3,0,1,22,48,0.0051695401611499,0.0014679305358098,0.0001788443322384,-0.0011376122027736,-0.0009103149119341,-0.41851489357247,0.0,0.0,0.41851489357247,0.71581865323678,-0.0004449379014701,0.7153737153353098,2,0,2,0,2,0,1,0,4,4,8.17,12,5,8.995
