imp0,offset0,ilayer0,imp1,offset1,ilayer1,i,j,Z_i,Z_j,J,D,Dx,Dy,Dz,rx,ry,rz,r,mom1,mom2,tot_mom
21,0,3,22,1,3,0,1,21,22,0.01242708533113359,0.0029529986172943746,-0.00033431429945797073,-0.002023022854912383,-0.0021250443081080837,-0.41851489357247,0.0,0.0,0.41851489357247,1.8567015891424e-06,0.81527563023296,0.8152774869345492
21,0,3,21,1,3,0,1,21,21,-5.764835328107143e-21,1.3831246942553632e-21,-1.1035400719837994e-22,9.714627890543314e-22,9.783230358307175e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2859493731839e-11,-4.6754822236039e-11,-8.961431596787799e-11
21,0,3,22,1,3,0,1,21,22,0.01242708533113359,0.0029529986172943746,-0.00033431429945797073,-0.002023022854912383,-0.0021250443081080837,-0.41851489357247,0.0,0.0,0.41851489357247,1.8567015891424e-06,0.81527563023296,0.8152774869345492
21,0,3,23,1,3,0,1,21,23,0.05591831376696944,0.02347602555829481,0.000110544668078358,-0.01627530174604957,-0.01691821825622032,-0.41851489357247,0.0,0.0,0.41851489357247,0.0034550789422992,2.6463804975817,2.649835576523999
21,0,3,24,1,3,0,1,21,24,0.03851847059844011,0.02591506361066449,0.00013420314099868067,-0.020210581610386646,-0.016220508698300252,-0.41851489357247,0.0,0.0,0.41851489357247,0.0041317258591829,3.8150133486922,3.819145074551383
21,0,3,25,1,3,0,1,21,25,0.08250897285251127,0.008917226756343672,0.0015218602211163064,-0.0038181782650880906,-0.00791343093907088,-0.41851489357247,0.0,0.0,0.41851489357247,0.010804645812181,4.4093774238869,4.420182069699081
21,0,3,28,1,3,0,1,21,28,0.05078228563933137,0.005137909124662114,0.001502313051406261,-0.0034309976231943137,-0.003517018762886487,-0.41851489357247,0.0,0.0,0.41851489357247,0.0068617548280183,0.91654945692044,0.9234112117484583
21,0,3,30,1,3,0,1,21,30,-3.105092504970592e-21,1.4479962540509207e-21,-6.899412840111572e-24,-1.1421847814723672e-21,-8.899772327542325e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2185477333589e-11,-2.5873525544284e-11,-6.805900287787301e-11
21,0,3,39,1,3,0,1,21,39,-2.3374131206294755e-21,3.5868303726123955e-22,-7.543442561756173e-23,2.1804982491467193e-22,2.7462236344729327e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.1738501543875e-11,-3.3083980000015e-11,-7.482248154389e-11
21,0,3,40,1,3,0,1,21,40,-4.894430352659925e-21,7.224031941288984e-22,8.081792339520064e-23,6.123479361963701e-22,3.746529636633994e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-3.7977065936445e-11,-4.7904569200341e-11,-8.5881635136786e-11
21,0,3,42,1,3,0,1,21,42,0.25183076608673055,0.0718533292273846,-0.0027442857199425465,-0.04963072943106835,-0.051886033892429365,-0.41851489357247,0.0,0.0,0.41851489357247,0.014121521085415,2.5785222366058,2.592643757691215
21,0,3,41,1,3,0,1,21,41,0.10472501559745341,0.016854351881173787,-0.001092709363033358,-0.0077518573035422495,-0.014925946265744236,-0.41851489357247,0.0,0.0,0.41851489357247,0.008590754128028,1.2002627951905,1.208853549318528
